model,accuracy,precision,recall,f1_score
SGD Classifier,0.58875,0.6205887849919445,0.58875,0.5941894908904987
Linear SVM,0.59,0.6027758545474391,0.59,0.5902324507702862
Complement Naive Bayes,0.546875,0.49466887394558623,0.546875,0.4847472128914409
Logistic Regression,0.30875,0.6899274211409627,0.30875,0.4002266297648556
Gradient Boosting,0.430625,0.37329283072656827,0.430625,0.38635375062292854
Multinomial Naive Bayes,0.450625,0.3977012484057954,0.450625,0.35114910964350105
AdaBoost,0.2425,0.20573708474397934,0.2425,0.127783438387574
